Job_Name,Company_Name,Job_Location,Job_link
Seasonal Tax Expert- Canada Remote,Intuit,"Hamilton, CA",https://ca.linkedin.com/jobs/view/seasonal-tax-expert-canada-remote-at-intuit-1359757982?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Seasonal Tax Expert- Canada Remote,Intuit,"Brampton, CA",https://ca.linkedin.com/jobs/view/seasonal-tax-expert-canada-remote-at-intuit-1359758783?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Software Developer 1,Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/software-developer-1-at-intuit-1377901577?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Software Developer,Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/software-developer-at-intuit-1377901575?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
"Head of Sales Operations, Canada",Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/head-of-sales-operations-canada-at-intuit-1377902460?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Payments Senior Product Manager,Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/payments-senior-product-manager-at-intuit-1347308699?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Service and Support Representative,Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/service-and-support-representative-at-intuit-1347310058?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Customer Care Quality Specialist,Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/customer-care-quality-specialist-at-intuit-1347308700?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Mobile Development Manager,Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/mobile-development-manager-at-intuit-1347308680?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Sales Enablement Learning Specialist,Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/sales-enablement-learning-specialist-at-intuit-1347307926?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Manager of Customer Experience,Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/manager-of-customer-experience-at-intuit-1347307884?position=11&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
"TurboTax, Tax Specialist",Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/turbotax-tax-specialist-at-intuit-1347309650?position=12&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Canada Country Manager (VP),Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/canada-country-manager-vp-at-intuit-1347309608?position=13&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Software Engineer 1,Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/software-engineer-1-at-intuit-1357098320?position=14&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Senior Marketing Manager (Acquisition and Lead Generation),Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/senior-marketing-manager-acquisition-and-lead-generation-at-intuit-1357098318?position=15&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Senior Product Manager,Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/senior-product-manager-at-intuit-1357099062?position=16&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Talent Acquisition Manager,Intuit,"Mississauga, CA",https://ca.linkedin.com/jobs/view/talent-acquisition-manager-at-intuit-1357097713?position=17&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Seasonal Tax Expert- Canada Remote,Intuit,"Toronto, CA",https://ca.linkedin.com/jobs/view/seasonal-tax-expert-canada-remote-at-intuit-1359759274?position=18&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Technical Customer Support Specialist,PartnerStack,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/technical-customer-support-specialist-at-partnerstack-1358334787?position=19&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Customer Success Manager,PartnerStack,"Toronto, CA",https://ca.linkedin.com/jobs/view/customer-success-manager-at-partnerstack-1353223696?position=20&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Customer Support,PartnerStack,"Toronto, CA",https://ca.linkedin.com/jobs/view/customer-support-at-partnerstack-1291537310?position=21&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Account Executive,PartnerStack,"Toronto, CA",https://ca.linkedin.com/jobs/view/account-executive-at-partnerstack-1291535775?position=22&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Sales Representative,eBridge Connections,"Burlington, CA",https://ca.linkedin.com/jobs/view/sales-representative-at-ebridge-connections-1277154011?position=23&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Technical Customer Support Specialist,PartnerStack,"Toronto, CA",https://ca.linkedin.com/jobs/view/technical-customer-support-specialist-at-partnerstack-1388099048?position=24&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Customer Success Manager - Toronto,PartnerStack,"Toronto, CA",https://ca.linkedin.com/jobs/view/customer-success-manager-toronto-at-partnerstack-1387983899?position=25&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
PART-TIME/TEMP DESKTOP ENGINEER I,Ultimate Software,"Toronto, CA",https://ca.linkedin.com/jobs/view/part-time-temp-desktop-engineer-i-at-ultimate-software-1352734143?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
SENIOR JAVA DEVELOPER - NOTIFICATIONS,Ultimate Software,"Toronto, ON",https://ca.linkedin.com/jobs/view/senior-java-developer-notifications-at-ultimate-software-1323849458?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
