Rank,Company_Name,Company_Website,Company_Type,Company_Location
1,Intuit Canada,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90ef2412f0881d98327,Information Technology / Software,"Mississauga, Ontario"
2,ATB Financial,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90bf2412f0881d982aa,Financial Services & Insurance / Banking/Credit Services,"Edmonton,  Alberta"
3,Ultimate Software,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/59821036be273455596a0694,Information Technology / Software,"Toronto, Ontario"
4,Salesforce,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/59c2ce7f400f0b2373909d40,Information Technology / Software,"Toronto, Ontario"
5,SAP Canada,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa911f2412f0881d9837f,11.3 Information Technology // Software,"Toronto, Ontario"
6,Whirlpool Canada,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/59d7b9ee05cf6b383c2dd4d6,Manufacturing & Production / Personal and Household goods,"Mississauga, Ontario"
7,Ryan ULC,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa911f2412f0881d9837b,Professional Services,"Mississauga, Ontario"
8,Kronos Incorporated,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90ff2412f0881d98335,Information Technology / Software,"Montreal, Quebec"
9,Mastercard Canada,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/59b16bb666d9762daff6ff5c,Information Technology,"Toronto, Ontario"
10,SAS Institute (Canada) Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/5aecba9a4c0ec82a1441e4e4,Information Technology / Software,"Toronto, Ontario"
11,Cisco Systems Canada ,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/5bd3429d44c6c808959f0ca8,Information Technology,"Toronto, Ontario"
12,Key Assets Newfoundland and Labrador,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90ff2412f0881d9832d,Social Services and Government Agencies / Human health and social work activities,"St. John's, Newfoundland and Labrador"
13,Admiral Insurance Canada,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90af2412f0881d98298,Financial Services & Insurance / Auto Insurance,"Halifax, Nova Scotia"
14,AbbVie,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90af2412f0881d98296,Biotechnology & Pharmaceuticals,"Montreal, Quebec"
15,G Adventures,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90ef2412f0881d9830d,Retail / Specialty,"Toronto, Ontario"
16,Stryker,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa912f2412f0881d98399,Health Care / Medical sales/Distribution,"Hamilton, Ontario"
17,Grant Thornton LLP,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90ef2412f0881d98313,"Professional Services / Accounting, bookkeeping and auditing","Toronto, Ontario"
